LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1395,MORE INFO,LEVEL
متفرقه,هزینه‌های پیش‌بینی نشده,هزینه‌های پیش‌بینی نشده,,,هزینه‌های پیش بینی نشده - کمک,ردیف شماره ۵۱۰۰۰۰ - ۱ از جدول شماره ۹,,70,0,0,70,,3
متفرقه,هزینه‌های پیش‌بینی نشده,هزینه‌‌های عمرانی پیش‌بینی نشده,,,هزینه‌های پیش بینی نشده سرمایه‌ای,ردیف شماره ۵۱۰۰۰۰ - ۲ از جدول شماره ۹,,0,50,0,50,,3
متفرقه,هزینه‌های پیش‌بینی نشده,هزینه‌های ضروری دستگاه‌ها,,,نهاد ریاست‌جمهوری - هزینه‌های ضروری دستگاه‌های اجرایی,ردیف شماره ۵۱۰۰۰۰ - ۳ از جدول شماره ۹,,70,0,0,70,,3
متفرقه,هزینه‌های پیش‌بینی نشده,سفرهای استانی رهبری,,,اعتبار طرح‌های مربوط به تعهدات سفرهای مقام رهبری,ردیف شماره ۵۱۰۰۰۰ - ۴ از جدول شماره ۹,,0,"1,000.00",0,"1,000.00",,3
متفرقه,هزینه‌های پیش‌بینی نشده,سفرهای استانی رییس‌جمهور,,,اعتبار طرح‌های مربوط به سفرهای رییس جمهور,ردیف شماره ۵۱۰۰۰۰ - ۵ از جدول شماره ۹,,0,80,0,80,,3
متفرقه,هزینه‌های پیش‌بینی نشده,,,,اعتبارات خاص و پیش‌بینی نشده,ردیف شماره ۵۱۰۰۰۰ از جدول شماره ۹,,140,"1,130.00",0,"1,270.00",,2
متفرقه,اعتبارات یارانه‌ها,,,,اعتبارات یارانه‌ها,ردیف شماره ۵۲۰۰۰۰ از جدول شماره ۹,,"12,700.00",680,0,"13,380.00",,2
متفرقه,اعتبارات متمرکز درآمد - هزینه,,,,اعتبارات متمرکز درآمد - هزینه,ردیف شماره ۵۳۰۰۰۰ از جدول شماره ۹,,"17,302.82","14,652.65",0,"31,955.47",,2
متفرقه,نهادهای خاص,آستان قدس رضوی,,,مطالبات آستان قدس رضوی از دولت,ردیف شماره ۵۴۰۰۰۰ - ۱ از جدول شماره ۹,,20,0,0,20,,3
متفرقه,نهادهای خاص,پرداخت به شهرداری‌ها,,,سازمان شهرداری‌ها و دهیاری‌های کشور - پرداخت به شهرداری‌ها موضوع تبصره3 ماده41 قانون مالیات بر ارزش افزوده و خرید ماشین آلات,ردیف شماره ۵۴۰۰۰۰ - ۲ از جدول شماره ۹,,100,320,0,420,,3
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,بنیاد دعبل خزاعی,بنیاد دعبل خزاعی,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۱ - ۱ از جدول شماره ۱۷,,7.43,0,0,7.43,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,موسسه صدرای نور,موسسه مدارس معارف اسلامی صدرای نور,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۱ - ۲ از جدول شماره ۱۷,,2.888,0,0,2.888,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,موسسه تسنیم نور,موسسه تسنیم نور,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۱ - ۳ از جدول شماره ۱۷,,1.733,0,0,1.733,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,پژوهشکده باقرالعلوم,پژوهشکده باقرالعلوم,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۱ - ۴ از جدول شماره ۱۷,,1.155,0,0,1.155,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,موسسه فرهنگی بصیرت,موسسه فرهنگی بصیرت,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۱ - ۵ از جدول شماره ۱۷,,3.465,0,0,3.465,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,موسسه تبیان,موسسه فرهنگی و اطلاع‌رسانی تبیان,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۱ - ۶ از جدول شماره ۱۷,,1.155,0,0,1.155,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,ستاد امر به معروف,ستاد احیا امر به معروف و نهی از منکر,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۱ - ۷ از جدول شماره ۱۷,,24,0,0,24,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,موسسه دارالحدیث,موسسه علمی فرهنگی دارالحدیث,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۱ - ۸ از جدول شماره ۱۷,,3.465,0,0,3.465,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,سازمان تبلیغات اسلامی,,سازمان تبلیغات اسلامی,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۱ از جدول شماره ۱۷,,45.29,0,0,45.29,,4
متفرقه,نهادهای خاص,کمک به نهادهای خاص,دفتر تبلیغات اسلامی حوزه علمیه قم,دانشگاه باقرالعلوم,دانشگاه باقرالعلوم,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۲ - ۱ از جدول شماره ۱۷,,1.155,0,0,1.155,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,دفتر تبلیغات اسلامی حوزه علمیه قم,پژوهشگاه علوم و فرهنگ اسلامی,پژوهشگاه علوم و فرهنگ اسلامی,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۲ - ۲ از جدول شماره ۱۷,,1.155,0,0,1.155,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,دفتر تبلیغات اسلامی حوزه علمیه قم,مرکز موضوع‌شناسی احکام,مرکز موضوع‌شناسی احکام,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۲ - ۳ از جدول شماره ۱۷,,1.95,0,0,1.95,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,دفتر تبلیغات اسلامی حوزه علمیه قم,پاسخگویی به سوالات دینی,مرکز ملی پاسخگویی به سوالات دینی,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۲ - ۴ از جدول شماره ۱۷,,1.733,0,0,1.733,,5
متفرقه,نهادهای خاص,کمک به نهادهای خاص,دفتر تبلیغات اسلامی حوزه علمیه قم,,دفتر تبلیغات اسلامی حوزه علمیه قم,ردیف شماره ۵۴۰۰۰۰ - ۳ - ۲ از جدول شماره ۱۷,,5.993,0,0,5.993,,4
