LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1403,MORE INFO,LEVEL
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,اداره نهاد ریاست‌جمهوری,,نهاد ریاست جمهوری,ردیف شماره 101000 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,"2,266.1",266.3,0.0,"2,532.4",مبلغ 1009 میلیارد تومان از «هزینه‌های جاری»، از محل «منابع اختصاصی» است.,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,مرکز همکاری‌های تحول و پیشرفت,,مرکز همکاری‌های تحول و پیشرفت (کمک) ,ردیف شماره 101002 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,400.8,5.0,0.0,405.8,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,کمک به اشخاص,,نهاد ریاست جمهوری - هزینه‌های ضروری - کمک به اشخاص حقیقی و حقوقی خصوصی ودولتی,ردیف شماره 101012 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,95.5,0.0,0.0,95.5,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,مرکز امور حقوقی بین‌الملل,,مرکز امور حقوقی بین الملل - دعاوی حقوقی بین,ردیف شماره 101062 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,730.0,0.0,0.0,730.0,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,شورای رقابت,,مرکز ملی رقابت (شورای رقابت) ,ردیف شماره 101066 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,42.8,7.0,0.0,49.8,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,دفتر امور دولت,,دفتر امور دولت,ردیف شماره 101067 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,20.0,0.0,0.0,20.0,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,,,نهاد ریاست جمهوری,جمع چند ردیف از جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,"3,555.3",278.3,0.0,"3,833.6",مبلغ 1009 میلیارد تومان از «هزینه‌های جاری»، از محل «منابع اختصاصی» است.,4
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,ستاد ویژه توسعه فناوری نانو و میکرو,,ستاد ویژه توسعه فناوری نانو و میکرو,ردیف شماره 101005 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,276.8,6.9,0.0,283.8,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,بنیاد ملی علم ایران,,بنیاد ملی علم ایران,ردیف شماره 101047 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,114.7,0.0,0.0,114.7,مبلغ 2 میلیارد تومان از «هزینه‌های جاری»، از محل «منابع اختصاصی» است.,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,بنیاد ملی نخبگان,,بنیاد ملی نخبگان,ردیف شماره 101048 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,539.1,3.0,0.0,542.1,مبلغ 1 میلیارد تومان از «هزینه‌های جاری»، از محل «منابع اختصاصی» است.,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,پارک فناوری پردیس,,پارک فناوری پردیس,ردیف شماره 101049 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,168.2,1.8,0.0,170.0,مبلغ 30 میلیارد تومان از «هزینه‌های جاری»، از محل «منابع اختصاصی» است.,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,اداره معاونت علمی,,معاونت علمی و فناوری رییس جمهور,ردیف شماره 101052 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,"2,053.2",205.1,0.0,"2,258.2",,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,کارگروه توسعه زیرساخت و خدمات دیجیتال,,معاونت علمی و فناوری رییس جمهور - کارگروه توسعه زیرساخت و خدمات دیجیتال,ردیف شماره 101069 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,339.6,0.0,0.0,339.6,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,ستاد توسعه فناوری علوم شناختی,,ستاد توسعه فناوری علوم شناختی,ردیف شماره 101074 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,68.7,0.0,0.0,68.7,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,ستاد توسعه زیست فناوری,,ستاد توسعه زیست فناوری,ردیف شماره 101075 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,263.0,0.4,0.0,263.4,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,ستادهای توسعه فناوری‌های نوین,,معاونت علمی و فناوری رییس جمهور - ستادهای توسعه فناوری‌های نوین,ردیف شماره 101078 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,316.8,0.0,0.0,316.8,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,ستاد توسعه علوم و فناوری‌های سلول‌های بنیادی,,ستاد توسعه علوم و فناوری‌های سلول‌های بنیادی,ردیف شماره 101089 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,70.7,0.0,0.0,70.7,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,فناوری‌های فوتونیک و لیزر,,معاونت علمی و فناوری رییس جمهور - فناوری‌های فوتونیک و لیزر,ردیف شماره 101091 جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,9.0,0.0,0.0,9.0,,5
