LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1401,MORE INFO,LEVEL
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,,نهاد ریاست جمهوری,ردیف شماره 101000 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,914.697,49.001,0.000,963.698,,4
ملی,دستگاه‌های اجرایی,ریاست جمهوری,مرکز امور حقوقی بین‌الملل,,مرکز امور حقوقی بین الملل  -  دعاوی حقوقی بین‌المللی,ردیف شماره 101062 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,100.000,0.000,0.000,100.000,,4
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,ستاد فناوری نانو,ستاد ویژه توسعه فناوری نانو,ردیف شماره 101005 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,132.000,5.221,0.000,137.221,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,صندوق حمایت از پژوهشگران,صندوق حمایت از پژوهشگران و فناوران کشور,ردیف شماره 101047 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,25.652,0.000,0.000,25.652,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,بنیاد نخبگان,بنیاد ملی نخبگان,ردیف شماره 101048 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,96.400,0.000,0.000,96.400,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,پارک فناوری پردیس,پارک فناوری پردیس,ردیف شماره 101049 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,124.610,0.001,0.000,124.611,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,اداره معاونت علمی,معاونت علمی و فناوری رییس جمهور,ردیف شماره 101052 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,"1,324.632",3.736,0.000,"1,328.368",,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,علوم شناختی,ستاد توسعه فناوری علوم شناختی,ردیف شماره 101074 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,31.384,0.000,0.000,31.384,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,زیست فناوری,ستاد توسعه زیست فناوری,ردیف شماره 101075 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,132.000,0.000,0.000,132.000,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,سلول‌های بنیادی,ستاد توسعه علوم و فناوری‌های سلول‌های بنیادی,ردیف شماره 101089 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,11.685,0.000,0.000,11.685,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,فناوری‌های فضایی,ستاد فناوریهای فضایی و حمل و نقل پیشرفته,ردیف شماره 101093 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,100.000,0.000,0.000,100.000,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,,مجموعه ردیف‌های زیرمجموعه معاونت علمی ریاست‌جمهوری,مجموعه ردیف از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,"1,978.363",8.958,0.000,"1,987.321",,4
ملی,دستگاه‌های اجرایی,ریاست جمهوری,سازمان اداری و استخدامی,سازمان اداری و استخدامی,سازمان اداری و استخدامی کشور,ردیف شماره 101057 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,161.924,64.468,0.000,226.392,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,سازمان اداری و استخدامی,سازمان اداری و استخدامی,سازمان ملی بهره وری ایران,ردیف شماره 102518 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,22.000,0.517,0.000,22.517,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,سازمان اداری و استخدامی,,مجموعه ردیف‌های زیرمجموعه سازمان اداری و استخدامی,مجموعه ردیف از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,183.924,64.985,0.000,248.909,,4
ملی,دستگاه‌های اجرایی,ریاست جمهوری,برنامه و بودجه,موسسه عالی آموزش و پژوهش مدیریت و برنامه‌ریزی,موسسه عالی آموزش وپژوهش مدیریت و برنامه ریزی,ردیف شماره 101003 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,97.099,0.000,0.000,97.099,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,برنامه و بودجه,سازمان برنامه و بودجه,سازمان برنامه و بودجه کشور,ردیف شماره 102500 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,"1,272.693",175.173,0.000,"1,447.866",,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,برنامه و بودجه,مازاد درآمد اختصاصی دستگاه‌ها,سازمان برنامه و بودجه کشور  -  مازاد درآمد اختصاصی دستگاه‌های اجرایی ملی و استانی,ردیف شماره 102530 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,"1,000.000",100.000,0.000,"1,100.000",,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,برنامه و بودجه,مرکز آمار,مرکز آمار ایران,ردیف شماره 103000 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,220.520,5.902,0.000,226.422,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,برنامه و بودجه,سازمان نقشه‌برداری,سازمان نقشه برداری کشور,ردیف شماره 103500 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,122.140,2.613,0.000,124.753,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,برنامه و بودجه,,مجموعه ردیف‌های زیرمجموعه سازمان برنامه و بودجه کشور,مجموعه ردیف از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,"2,712.452",283.688,0.000,"2,996.140",,4
ملی,دستگاه‌های اجرایی,ریاست جمهوری,سازمان انرژی اتمی,اداره سازمان انرژی اتمی,سازمان انرژی اتمی ایران,ردیف شماره 144000 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,207.239,"1,055.020",0.000,"1,262.259",,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,سازمان انرژی اتمی,پژوهشگاه علوم و فنون هسته‌ای,پژوهشگاه علوم و فنون هسته‌ای,ردیف شماره 144001 از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,329.014,0.000,0.000,329.014,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,سازمان انرژی اتمی,,مجموعه ردیف‌های زیرمجموعه سازمان انرژی اتمی ایران,مجموعه ردیف از جدول شماره 7,https://iranbudget.org/blog/wp-content/uploads/2024/02/Bill-1401-00.pdf,536.253,"1,055.020",0.000,"1,591.273",,4
