LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1403,MORE INFO,LEVEL
درآمدها,مالیات,مالیات شرکت‌ها,مالیات علی‌الحساب شرکت‌های دولتی,,,مالیات علی الحساب اشخاص حقوقی دولتی - وصول ماهانه یک دوازدهم رقم,ردیف شماره 110102 جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,"23,101.5",0.0,0.0,"23,101.5",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات عملکرد شرکت‌های دولتی,,,مالیات عملکرد شرکت‌های دولتی,ردیف شماره 110103 جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,"18,444.4",0.0,0.0,"18,444.4",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات‌ نهادها و بنیادها,,,مالیات بنگاه‌های اقتصادی، نهادهاو بنیادهای انقلاب اسلامی,ردیف شماره 110104 جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,"2,905.2",0.0,29.3,"2,934.5",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات اشخاص حقوقی غیر دولتی,,,مالیات اشخاص حقوقی غیر دولتی,ردیف شماره 110105 جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,0.0,"355,043.1","3,586.3","358,629.4",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات آستان قدس,,,مالیات شرکت‌ها و موسسات وابسته به آستان قدس رضوی (جمعی و خرجی) ,ردیف شماره 110111 جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,385.4,0.0,3.9,389.3,,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات نیروهای مسلح و ستاد اجرایی فرمان امام,,,مالیات موضوع ماده ۷۸ قانون الحاق برخی مواد به قانون تنظیم بخشی از مقررات مالی دولت,ردیف شماره 110112 جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,872.3,0.0,8.8,881.2,,4
درآمدها,مالیات,مالیات شرکت‌ها, تسویه بدهی‌های مالیاتی بانک‌های ادغامی در بانک سپه,,,درآمد حاصل از تسویه بدهی‌های مالیاتی بانک‌های ادغامی در بانک سپه و شرکت منحله تعاونی اعتباری ثامن (جمعی و خرجی) ,ردیف شماره 110114 جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,0.1,0.0,0.0,0.1,,4
درآمدها,مالیات,مالیات شرکت‌ها,لغو معافیت‌های مالیاتی واحدهای صنعتی مناطق کمتر توسعه‌یافته,,,درآمد حاصل از اجرای بند ح ماده ۲۷ قانون برنامه پنجساله هفتم پیشرفت,ردیف شماره 110115 جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,0.0,"50,000.0",0.0,"50,000.0",,4
درآمدها,مالیات,مالیات شرکت‌ها,,,,مالیات اشخاص حقوقی (با لحاظ معافیت ۵درصد مالیات تولید) ,ردیف شماره 110100 جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,"45,709.0","405,043.1","3,628.3","454,380.4",,3
درآمدها,مالیات,مالیات بر درآمد,مالیات حقوق کارکنان دولتی,,,مالیات حقوق و مزایای نقدی کارکنان شرکت‌های تابعه وزارت نفت در واحدهای عملیاتی، جزایر و سکوها پس از کسر معافیت‌های قانونی,ردیف شماره 110201 جدول شماره ۵,https://iranbudget.org/blog/wp-content/uploads/2024/05/Bill-1403-00.pdf,0.0,"37,816.2",382.1,"38,198.3",,4
