LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1398,MORE INFO,LEVEL
ملی,آموزش و پژوهش,آموزش پزشکی,دانشگاه‌ها و مراکز تحقیقاتی علوم پزشکی,مراکز تحقیقاتی دانشگاه علوم پزشکی تهران,,دانشگاه علوم پزشکی و خدمات بهداشتی، درمانی تهران - مراکز تحقیقاتی,ردیف شماره  ۱۲۳۷۰۲ از جدول شماره ۷,,33.08,0.156,0,33.236,,5
ملی,آموزش و پژوهش,آموزش پزشکی,دانشگاه‌ها و مراکز تحقیقاتی علوم پزشکی,مرکز تحقیقات علوم و تکنولوژی پزشکی,,دانشگاه علوم پزشکی و خدمات بهداشتی درمانی تهران - مرکز تحقیقات علوم و تکنولوژی در پزشکی,ردیف شماره  ۱۲۳۷۰۳ از جدول شماره ۷,,3.89,0.052,0,3.942,,5
ملی,آموزش و پژوهش,آموزش پزشکی,دانشگاه‌ها و مراکز تحقیقاتی علوم پزشکی,مرکز تحقیقات ایمونولوژی، آسم و آلرژی تهران,,دانشگاه علوم پزشکی و خدمات بهداشتی درمانی تهران - مرکز تحقیقات ایمونولوژی، آسم و آلرژی,ردیف شماره  ۱۲۳۷۰۴ از جدول شماره ۷,,2.19,0.052,0,2.242,,5
ملی,آموزش و پژوهش,آموزش پزشکی,دانشگاه‌ها و مراکز تحقیقاتی علوم پزشکی,دانشکده پرستاری پلدختر,,دانشگاه علوم پزشکی و خدمات بهداشتی، درمانی خرم‌آباد - دانشکده پرستاری پلدختر,ردیف شماره  ۱۲۴۴۱۶ از جدول شماره ۷,,4.272,0.338,0,4.61,,5
ملی,آموزش و پژوهش,آموزش پزشکی,دانشگاه‌ها و مراکز تحقیقاتی علوم پزشکی,دانشگاه علوم پزشکی تهران,,دانشگاه علوم پزشکی و خدمات بهداشتی درمانی تهران - اجرای برنامه‌های آموزشی,ردیف شماره  ۱۲۳۷۰۷ از جدول شماره ۷,,517.494,8.13,0,525.624,,5
ملی,آموزش و پژوهش,آموزش پزشکی,دانشگاه‌ها و مراکز تحقیقاتی علوم پزشکی,پژوهشکده بیماری‌های گوارش و کبد تهران,,دانشگاه علوم پزشکی و خدمات بهداشتی درمانی تهران - پژوهشکده بیماری‌های گوارش و کبد,ردیف شماره  ۱۲۳۷۰۹ از جدول شماره ۷,,11.155,0.182,0,11.337,,5
ملی,آموزش و پژوهش,آموزش پزشکی,دانشگاه‌ها و مراکز تحقیقاتی علوم پزشکی,پژوهشکده انکولوژی، هماتولوژی و سل‌تراپی تهران,,دانشگاه علوم پزشکی و خدمات بهداشتی درمانی تهران - پژوهشکده انکولوژی، هماتولوژی و سل‌تراپی,ردیف شماره  ۱۲۳۷۱۰ از جدول شماره ۷,,13.77,0.364,0,14.134,,5
ملی,آموزش و پژوهش,آموزش پزشکی,دانشگاه‌ها و مراکز تحقیقاتی علوم پزشکی,پژوهشگاه علوم غدد و متابولیسم تهران,,دانشگاه علوم پزشکی و خدمات بهداشتی درمانی تهران - پژوهشگاه علوم غدد و متابولیسم,ردیف شماره  ۱۲۳۷۱۱ از جدول شماره ۷,,20.86,0.13,0,20.99,,5
ملی,آموزش و پژوهش,آموزش پزشکی,دانشگاه‌ها و مراکز تحقیقاتی علوم پزشکی,مرکز تحقیقات پوست و جذام تهران,,دانشگاه علوم پزشکی تهران - مرکز تحقیقات پوست و جذام,ردیف شماره  ۱۲۳۷۱۲ از جدول شماره ۷,,2.93,0.052,0,2.982,,5
ملی,آموزش و پژوهش,آموزش پزشکی,دانشگاه‌ها و مراکز تحقیقاتی علوم پزشکی,مرکز تحقیقات علوم دارویی کشور,,دانشگاه علوم پزشکی و خدمات بهداشتی درمانی تهران - مرکز تحقیقات علوم دارویی کشور,ردیف شماره  ۱۲۳۷۱۵ از جدول شماره ۷,,2.44,0.052,0,2.492,,5
