LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1400,MORE INFO,LEVEL
درآمدها,مالیات,مالیات شرکت‌ها,مالیات علی‌الحساب شرکت‌های دولتی,,,مالیات علی‌الحساب اشخاص حقوقی دولتی وصول ماهانه یک دوازدهم رقم,ردیف شماره ۱۱۰۱۰۲ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,"7,212.83",0.00,0.00,"7,212.83",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات شرکت‌های دولتی,,,مالیات عملکرد شرکت‌های دولتی,ردیف شماره ۱۱۰۱۰۳ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,"4,087.17",0.00,0.00,"4,087.17",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات‌ نهادها و بنیادها,,,مالیات بنگاه‌های اقتصادی، نهادها و بنیادهای انقلاب اسلامی,ردیف شماره ۱۱۰۱۰۴ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,"1,500.00",0.00,15.15,"1,515.15",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات شرکت‌های غیر دولتی,,,مالیات اشخاص حقوقی غیردولتی,ردیف شماره ۱۱۰۱۰۵ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,"45,605.64",460.66,"46,066.30",,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات آستان قدس,,,مالیات شرکت‌ها و مؤسسات وابسته به آستان قدس رضوی (جمعی خرجی),ردیف شماره ۱۱۰۱۱۱ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,65.00,0.00,0.66,65.66,,4
درآمدها,مالیات,مالیات شرکت‌ها,مالیات ماده ۷۸ قانون الحاق,,,مالیات موضوع ماده ۷۸ قانون الحاق برخی مواد به قانون تنظیم بخشی از مقررات مالی دولت (۲),ردیف شماره ۱۱۰۱۱۲ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,740.00,0.00,7.47,747.47,,4
درآمدها,مالیات,مالیات شرکت‌ها,,,,مالیات اشخاص حقوقی,ردیف شماره ۱۱۰۱۰۰ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,"13,605.00","45,605.64",483.95,"59,694.58",,3
درآمدها,مالیات,مالیات بر درآمد,مالیات حقوق کارکنان بخش عمومی,,,مالیات حقوق کارکنان بخش عمومی,ردیف شماره ۱۱۰۲۰۱ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,"16,886.89",170.57,"17,057.46",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات حقوق کارکنان بخش خصوصی,,,مالیات حقوق کارکنان بخش خصوصی,ردیف شماره ۱۱۰۲۰۲ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,"15,550.00",157.07,"15,707.07",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات مشاغل,,,مالیات مشاغل,ردیف شماره ۱۱۰۲۰۳ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,"17,000.00",171.72,"17,171.72",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات مستغلات,,,مالیات مستغلات,ردیف شماره ۱۱۰۲۰۴ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,"4,600.00",46.46,"4,646.46",,4
درآمدها,مالیات,مالیات بر درآمد,مالیات‌های متفرقه درآمد,,,مالیات‌های متفرقه درآمد,ردیف شماره ۱۱۰۲۰۵ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,10.00,0.10,10.10,,4
درآمدها,مالیات,مالیات بر درآمد,معافیت‌های مالیاتی (جمعی خرجی),,,معافیت مالیاتی (جمعی خرجی),ردیف شماره ۱۱۰۲۰۶ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,200.00,0.00,0.00,200.00,,4
درآمدها,مالیات,مالیات بر درآمد,,,,مالیات بر درآمدها,ردیف شماره ۱۱۰۲۰۰ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,200.00,"54,046.89",545.93,"54,792.82",,3
درآمدها,مالیات,مالیات بر ثروت,مالیات بر ارث,,,مالیات بر ارث,ردیف شماره ۱۱۰۳۰۱ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,"1,000.00",10.10,"1,010.10",,4
درآمدها,مالیات,مالیات بر ثروت,مالیات‌های اتفاقی,,,مالیات‌های اتفاقی,ردیف شماره ۱۱۰۳۰۲ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,25.00,0.25,25.25,,4
درآمدها,مالیات,مالیات بر ثروت,مالیات نقل و انتقال سرقفلی,,,مالیات نقل و انتقال سرقفلی,ردیف شماره ۱۱۰۳۰۳ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,"2,309.18",23.33,"2,332.50",,4
درآمدها,مالیات,مالیات بر ثروت,مالیات نقل و انتقال سهام,,,مالیات نقل و انتقال سهام,ردیف شماره ۱۱۰۳۰۴ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,"16,953.49",171.25,"17,124.74",,4
درآمدها,مالیات,مالیات بر ثروت,مالیات نقل و انتقالات املاک,,,مالیات نقل و انتقالات املاک,ردیف شماره ۱۱۰۳۰۵ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,"2,305.47",23.29,"2,328.76",,4
درآمدها,مالیات,مالیات بر ثروت,حق تمبر,,,حق تمبر و اوراق بهادار,ردیف شماره ۱۱۰۳۰۶ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,"2,338.94",23.63,"2,362.56",,4
درآمدها,مالیات,مالیات بر ثروت,مالیات واحدهای مسکونی گران‌قیمت,,,مالیات بر واحدهای مسکونی گران‌قیمت (با احتساب عرصه و اعیان),ردیف شماره ۱۱۰۳۰۷ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,700.00,7.07,707.07,,4
درآمدها,مالیات,مالیات بر ثروت,مالیات خودروهای گران‌قیمت,,,مالیات بر انواع خودروهای سواری و وانت دو کابین دارای شماره انتظامی شخصی گران‌قیمت,ردیف شماره ۱۱۰۳۰۸ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,0.00,"6,600.00",66.67,"6,666.67",,4
درآمدها,مالیات,مالیات بر ثروت,مالیات خانه‌های خالی,,,درآمد حاصل از مالیات بر واحدهای مسکونی خالی از سکنه,ردیف شماره ۱۱۰۳۰۹ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,"2,000.00",0.00,0.00,"2,000.00",,4
درآمدها,مالیات,مالیات بر ثروت,,,,مالیات بر ثروت,ردیف شماره ۱۱۰۳۰۰ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,"2,000.00","32,232.08",325.58,"34,557.66",,3
درآمدها,مالیات,مالیات بر واردات,حق گمرکی کالاها,,,حقوق ورودی سایر کالاها (موضوع بند ب ماده ۱۵ آیین‌نامه اجرایی قانون امور گمرکی),ردیف شماره ۱۱۰۴۰۱ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,"37,380.00",0.00,762.86,"38,142.86",,4
درآمدها,مالیات,مالیات بر واردات,گمرکی واردات خودرو,,,حقوق ورودی خودرو,ردیف شماره ۱۱۰۴۰۲ جدول شماره ۷,https://iranbudget.org/blog/wp-content/uploads/2024/07/F-1400.pdf,"8,277.50",0.00,168.93,"8,446.43",,4
