LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1402,MORE INFO,LEVEL
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,اداره نهاد ریاست‌جمهوری,,نهاد ریاست جمهوری,ردیف شماره 101000 جدول شماره ۷,https://web.archive.org/web/20230502013837/https://shenasname.ir/budjet1402/53540-%D8%AC%D8%AF%D8%A7%D9%88%D9%84-%DA%A9%D9%84%D8%A7%D9%86-%D9%88-%D9%BE%DB%8C%D9%88%D8%B3%D8%AA-%D9%87%D8%A7%DB%8C-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A8%D9%88%D8%AF%D8%AC%D9%87,"1,218.233",82.070,0.000,"1,300.303",,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,مرکز همکاری‌های تحول و پیشرفت,,مرکز همکاری‌های تحول و پیشرفت (کمک),ردیف شماره 101002 جدول شماره ۷,https://web.archive.org/web/20230502013837/https://shenasname.ir/budjet1402/53540-%D8%AC%D8%AF%D8%A7%D9%88%D9%84-%DA%A9%D9%84%D8%A7%D9%86-%D9%88-%D9%BE%DB%8C%D9%88%D8%B3%D8%AA-%D9%87%D8%A7%DB%8C-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A8%D9%88%D8%AF%D8%AC%D9%87,266.050,3.400,0.000,269.450,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,مرکز همکاری‌های تحول و پیشرفت,,نهاد ریاست جمهوری - هزینه‌های ضروری - کمک به اشخاص حقیقی و حقوقی خصوصی و دولتی,ردیف شماره 101012 جدول شماره ۷,https://web.archive.org/web/20230502013837/https://shenasname.ir/budjet1402/53540-%D8%AC%D8%AF%D8%A7%D9%88%D9%84-%DA%A9%D9%84%D8%A7%D9%86-%D9%88-%D9%BE%DB%8C%D9%88%D8%B3%D8%AA-%D9%87%D8%A7%DB%8C-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A8%D9%88%D8%AF%D8%AC%D9%87,100.000,0.000,0.000,100.000,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,معاونت امور زنان و خانواده,,معاونت امور زنان و خانواده,ردیف شماره 101024 جدول شماره ۷,https://web.archive.org/web/20230502013837/https://shenasname.ir/budjet1402/53540-%D8%AC%D8%AF%D8%A7%D9%88%D9%84-%DA%A9%D9%84%D8%A7%D9%86-%D9%88-%D9%BE%DB%8C%D9%88%D8%B3%D8%AA-%D9%87%D8%A7%DB%8C-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A8%D9%88%D8%AF%D8%AC%D9%87,57.750,0.191,0.000,57.941,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,شورای نظارت بر صدا و سیما,,شورای نظارت بر صدا و سیما,ردیف شماره 101050 جدول شماره ۷,https://web.archive.org/web/20230502013837/https://shenasname.ir/budjet1402/53540-%D8%AC%D8%AF%D8%A7%D9%88%D9%84-%DA%A9%D9%84%D8%A7%D9%86-%D9%88-%D9%BE%DB%8C%D9%88%D8%B3%D8%AA-%D9%87%D8%A7%DB%8C-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A8%D9%88%D8%AF%D8%AC%D9%87,14.500,2.000,0.000,16.500,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,مرکز امور حقوقی بین‌الملل,,مرکز امور حقوقی بین الملل - دعاوی حقوقی بین‌المللی,ردیف شماره 101062 جدول شماره ۷,https://web.archive.org/web/20230502013837/https://shenasname.ir/budjet1402/53540-%D8%AC%D8%AF%D8%A7%D9%88%D9%84-%DA%A9%D9%84%D8%A7%D9%86-%D9%88-%D9%BE%DB%8C%D9%88%D8%B3%D8%AA-%D9%87%D8%A7%DB%8C-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A8%D9%88%D8%AF%D8%AC%D9%87,189.000,0.000,0.000,189.000,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,شورای رقابت,,مرکز ملی رقابت (شورای رقابت),ردیف شماره 101066 جدول شماره ۷,https://web.archive.org/web/20230502013837/https://shenasname.ir/budjet1402/53540-%D8%AC%D8%AF%D8%A7%D9%88%D9%84-%DA%A9%D9%84%D8%A7%D9%86-%D9%88-%D9%BE%DB%8C%D9%88%D8%B3%D8%AA-%D9%87%D8%A7%DB%8C-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A8%D9%88%D8%AF%D8%AC%D9%87,37.252,2.000,0.000,39.252,,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,ستاد جوانی جمعیت,,دبیرخانه ستاد حمایت از خانواده و جوانی جمعیت,ردیف شماره 131550 جدول شماره ۷,https://web.archive.org/web/20230502013837/https://shenasname.ir/budjet1402/53540-%D8%AC%D8%AF%D8%A7%D9%88%D9%84-%DA%A9%D9%84%D8%A7%D9%86-%D9%88-%D9%BE%DB%8C%D9%88%D8%B3%D8%AA-%D9%87%D8%A7%DB%8C-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A8%D9%88%D8%AF%D8%AC%D9%87,"6,500.000","1,000.000",0.000,"7,500.000",,5
ملی,دستگاه‌های اجرایی,ریاست جمهوری,نهاد ریاست جمهوری,,,مجموعه زیر نظر نهاد ریاست جمهوری,مجموعه ردیف از جدول شماره ۷,https://web.archive.org/web/20230502013837/https://shenasname.ir/budjet1402/53540-%D8%AC%D8%AF%D8%A7%D9%88%D9%84-%DA%A9%D9%84%D8%A7%D9%86-%D9%88-%D9%BE%DB%8C%D9%88%D8%B3%D8%AA-%D9%87%D8%A7%DB%8C-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A8%D9%88%D8%AF%D8%AC%D9%87,"8,382.785","1,089.661",0.000,"9,472.446",,4
ستاد فناوری نانو,دستگاه‌های اجرایی,ریاست جمهوری,معاونت علمی,ستاد فناوری نانو,,ستاد ویژه توسعه فناوری نانو و میکرو,ردیف شماره 101005 جدول شماره ۷,https://web.archive.org/web/20230502013837/https://shenasname.ir/budjet1402/53540-%D8%AC%D8%AF%D8%A7%D9%88%D9%84-%DA%A9%D9%84%D8%A7%D9%86-%D9%88-%D9%BE%DB%8C%D9%88%D8%B3%D8%AA-%D9%87%D8%A7%DB%8C-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A8%D9%88%D8%AF%D8%AC%D9%87,229.819,5.243,0.000,235.062,,5
